Parcela,Npies_10,Npies_15,Npies_20,Npies_25,Npies_30,Npies_35,Npies_40,Npies_45,Npies_50,Npies_55,Npies_60,Npies_65,Npies_70
1,18.834905,18.834905,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,56.504714,37.669809,0,0,0,0,0,0,0,0
3,113.009427,169.514141,207.18395,188.349045,37.669809,18.834905,0,0,0,0,0,0,0
4,56.504714,18.834905,56.504714,18.834905,18.834905,0,0,0,0,0,0,0,0
5,0,0,0,18.834905,0,56.504714,18.834905,0,0,0,0,0,0
6,0,0,0,56.504714,75.339618,18.834905,0,0,0,0,0,0,0
7,75.339618,18.834905,18.834905,18.834905,18.834905,0,0,0,0,0,0,0,0
8,0,0,0,0,28.294236,28.294236,14.147118,0,0,0,0,0,0
9,0,0,0,42.441354,0,0,0,0,0,0,0,0,0
10,0,18.834905,56.504714,56.504714,56.504714,18.834905,37.669809,0,0,0,0,0,0
11,0,0,0,0,18.834905,0,0,0,0,0,0,0,0
12,0,0,0,0,0,37.669809,0,0,0,0,0,0,0
13,0,0,0,0,0,14.147118,0,0,0,0,0,0,0
14,37.669809,18.834905,56.504714,37.669809,94.174523,56.504714,0,0,0,0,0,0,0
15,18.834905,0,0,18.834905,18.834905,0,18.834905,0,0,0,0,0,0
16,18.834905,18.834905,37.669809,18.834905,18.834905,0,0,0,0,0,0,0,0
17,37.669809,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,56.504714,94.174523,18.834905,18.834905,18.834905,0,0,0,0,0
19,0,0,31.831016,0,28.294236,56.588472,14.147118,0,0,0,0,0,0
20,0,0,0,0,56.504714,18.834905,0,0,0,0,0,0,0
21,0,18.834905,18.834905,37.669809,0,18.834905,18.834905,0,0,0,0,0,0
22,0,0,0,75.339618,37.669809,113.009427,37.669809,37.669809,37.669809,0,0,0,0
23,37.669809,18.834905,207.18395,131.844332,169.514141,56.504714,56.504714,18.834905,0,0,0,0,0
24,0,0,18.834905,0,0,0,0,0,0,0,0,0,0
25,18.834905,0,0,56.504714,37.669809,0,0,0,0,0,0,0,0
26,0,0,56.504714,94.174523,0,18.834905,18.834905,18.834905,0,18.834905,0,0,0
27,56.504714,75.339618,150.679236,207.18395,113.009427,56.504714,0,0,0,0,0,0,0
28,0,18.834905,18.834905,18.834905,0,18.834905,37.669809,56.504714,18.834905,18.834905,0,0,0
29,0,18.834905,169.514141,263.688663,263.688663,263.688663,37.669809,37.669809,0,0,0,0,0
30,0,0,0,0,37.669809,0,18.834905,0,0,0,0,0,0
31,0,0,37.669809,75.339618,37.669809,37.669809,37.669809,0,0,0,0,0,0
32,0,18.834905,18.834905,18.834905,18.834905,37.669809,0,0,0,0,0,0,0
33,0,18.834905,113.009427,131.844332,94.174523,37.669809,0,0,0,0,0,0,0
34,0,0,0,18.834905,0,0,0,0,0,0,0,0,0
35,0,0,0,14.147118,14.147118,14.147118,0,0,0,0,0,0,0
36,0,18.834905,0,0,0,0,0,0,0,0,0,0,0
37,0,0,18.834905,0,37.669809,37.669809,0,0,0,0,0,0,0
38,131.844332,75.339618,113.009427,75.339618,75.339618,131.844332,75.339618,0,0,0,0,0,0
39,0,0,0,37.669809,18.834905,0,0,18.834905,0,0,0,0,0
40,0,0,0,18.834905,56.504714,37.669809,0,0,0,0,0,0,0
41,18.834905,0,0,18.834905,75.339618,18.834905,0,0,0,0,0,0,0
42,0,37.669809,37.669809,18.834905,113.009427,0,0,0,0,0,0,0,0
43,56.504714,56.504714,18.834905,37.669809,18.834905,0,0,0,0,0,0,0,0
44,56.504714,37.669809,37.669809,37.669809,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,18.834905,0,0,0,0,0,0
46,37.669809,56.504714,150.679236,207.18395,169.514141,75.339618,18.834905,0,0,0,0,0,0
47,0,0,0,0,18.834905,18.834905,37.669809,0,0,0,0,0,0
48,0,0,0,0,0,0,37.669809,0,0,0,0,0,0
49,18.834905,0,56.504714,0,0,37.669809,0,0,0,0,0,0,0
50,37.669809,56.504714,37.669809,75.339618,75.339618,56.504714,18.834905,18.834905,0,0,0,0,0
51,0,0,18.834905,75.339618,18.834905,18.834905,0,0,0,0,0,0,0
52,0,37.669809,37.669809,56.504714,94.174523,56.504714,37.669809,0,0,0,0,0,0
53,0,75.339618,56.504714,150.679236,113.009427,37.669809,0,0,0,0,0,0,0
54,0,0,56.504714,37.669809,18.834905,0,0,0,0,0,0,0,0
55,37.669809,56.504714,150.679236,188.349045,244.853759,94.174523,113.009427,0,0,0,0,0,0
56,0,37.669809,131.844332,244.853759,188.349045,56.504714,18.834905,0,0,0,0,0,0
57,18.834905,0,0,56.504714,131.844332,75.339618,94.174523,0,0,0,0,0,0
58,0,0,37.669809,94.174523,94.174523,18.834905,0,0,0,0,0,0,0
59,0,0,37.669809,56.504714,0,0,0,0,0,0,0,0,0
60,0,0,18.834905,56.504714,94.174523,56.504714,94.174523,37.669809,0,0,0,0,0
61,0,18.834905,0,37.669809,37.669809,75.339618,0,0,0,0,0,0,0
